,genre,songName,artistName,imageURL,songURL,lyricsURL
50,Hip-Hop,Captain Hook,Megan Thee Stallion,https://i.scdn.co/image/ab67616d0000485120fbc17fcb9376bc76a1b510,https://p.scdn.co/mp3-preview/0ded5d3dda1241fffd8187afcfe9068bea6b16b8?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Megan-Thee-Stallion-Captain-Hook-lyrics
51,Hip-Hop,He Say She Say,Mulatto,https://i.scdn.co/image/ab67616d000048517033b569ed9e738e059d846a,https://p.scdn.co/mp3-preview/0e02507599804cbddfc4bec683438686ad89608e?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Mulatto-He-Say-She-Say-lyrics
52,Hip-Hop,I Like Him,Princess Nokia,https://i.scdn.co/image/ab67616d00004851f830902bc6e8ee64d4140ca3,https://p.scdn.co/mp3-preview/21fe55b438ca9dc0fbebf32dcff2b4c164be6305?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Princess-Nokia-I-Like-Him-lyrics
53,Hip-Hop,Like That (feat. Gucci Mane),Doja Cat,https://i.scdn.co/image/ab67616d0000485182b243023b937fd579a35533,https://p.scdn.co/mp3-preview/a3fa1e34dd1b9c96a8070384c86210c98002f667?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Doja-Cat-Like-That-lyrics
54,Hip-Hop,B.S. (feat. H.E.R.),Jhené Aiko,https://i.scdn.co/image/ab67616d00004851b87ac71d440973d20f4c8473,,https://genius.com/Jhené-Aiko-BS-lyrics
55,Hip-Hop,Savage Remix (feat. Beyoncé),Megan Thee Stallion,https://i.scdn.co/image/ab67616d000048519e1cf949785e00f925be7713,https://p.scdn.co/mp3-preview/82b86052d5cfa3802d47b4ee63036d2bfeb86525?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Megan-Thee-Stallion-Savage-Remix-lyrics
56,Hip-Hop,Go Crazy,Kamaiyah,https://i.scdn.co/image/ab67616d00004851015f7d508cc4cd6e2eca39fa,https://p.scdn.co/mp3-preview/c077d8206c990cbe5a654beec549f6c9c3ada68a?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Kamaiyah-Go-Crazy-lyrics
57,Hip-Hop,Yikes,Nicki Minaj,https://i.scdn.co/image/ab67616d0000485198441652fc8a6b7ebf395ba9,,https://genius.com/Nicki-Minaj-Yikes-lyrics
58,Hip-Hop,B*tch From Da Souf (Remix),Mulatto,https://i.scdn.co/image/ab67616d00004851d91cc8a5a47f4fce49793440,https://p.scdn.co/mp3-preview/d27cc5064db0013d7c74f0bda04152f22dab823e?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Mulatto-Btch-From-Da-Souf-lyrics
59,Hip-Hop,Levi High (feat. DaBaby),DaniLeigh,https://i.scdn.co/image/ab67616d000048519081cecb66c16b0872722d92,,https://genius.com/DaniLeigh-Levi-High-lyrics
60,Hip-Hop,Say So (feat. Nicki Minaj),Doja Cat,https://i.scdn.co/image/ab67616d00004851e7a221a05ef17fd41e9e4c0e,https://p.scdn.co/mp3-preview/d07fbbe4e6c0ce64f63d8b94c1e5cb893cc24a1d?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Doja-Cat-Say-So-lyrics
61,Hip-Hop,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)",H.E.R.,https://i.scdn.co/image/ab67616d00004851d4db1fd0f9eccb93a9e75639,https://p.scdn.co/mp3-preview/59c4f1f9243394c7581505f1e4a5b9c40ac9b3b7?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/HER-Slide-lyrics
62,Hip-Hop,Do It,Chloe x Halle,https://i.scdn.co/image/ab67616d00004851c09db323880d5776be5d2477,https://p.scdn.co/mp3-preview/05aa3fb7a37075b88ed1b7cbe898a52fda30a5da?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Chloe-x-Halle-Do-It-lyrics
63,Hip-Hop,COFFEE,Kelly Rowland,https://i.scdn.co/image/ab67616d0000485126412821e36b1fb0eb0ec79b,https://p.scdn.co/mp3-preview/b5a18f25c6f1e7c5ab107fc0e9fddf9d5c3e99bd?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Kelly-Rowland-COFFEE-lyrics
64,Hip-Hop,Not Friendly,Flo Milli,https://i.scdn.co/image/ab67616d0000485177b9d1039723a1e2ae44aaa4,https://p.scdn.co/mp3-preview/f06ca2ae32251e958dbb64f6433acbc6e5ac9fa2?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Flo-Milli-Not-Friendly-lyrics
65,Hip-Hop,B.I.T.C.H.,Megan Thee Stallion,https://i.scdn.co/image/ab67616d0000485180e401ab09a62223ad4a55a4,https://p.scdn.co/mp3-preview/4b118d90872bf95ddf26d25f9c849c32b46b134a?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Megan-Thee-Stallion-BITCH-lyrics
66,Hip-Hop,SONGS ABOUT YOU,CHIKA,https://i.scdn.co/image/ab67616d00004851fa67351673aad654dc6a5a76,https://p.scdn.co/mp3-preview/c8e570fd0b85ed8b377629efbf288687a9faff59?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/CHIKA-SONGS-ABOUT-YOU-lyrics
67,Hip-Hop,Project Baby,Kamaiyah,https://i.scdn.co/image/ab67616d00004851af18d013a60930ed12d4b90c,https://p.scdn.co/mp3-preview/b118711c94964e76dc7b3f912b28851741279f54?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Kamaiyah-Project-Baby-lyrics
68,Hip-Hop,COVER GIRL,BIA,https://i.scdn.co/image/ab67616d000048511b1795b1a1321700f4d1f784,https://p.scdn.co/mp3-preview/3598d7b2a4f1491fe2abc464f9627060c90ca800?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/BIA-COVER-GIRL-lyrics
69,Hip-Hop,Change Your Life (feat. Jhené Aiko),Kehlani,https://i.scdn.co/image/ab67616d000048519ca43f84c89df015c7c1b89c,https://p.scdn.co/mp3-preview/6a780143f97432362e42471fd314bba9b37391a6?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Kehlani-Change-Your-Life-lyrics
70,Hip-Hop,Fuck Around,Tink,https://i.scdn.co/image/ab67616d00004851114c40435d2aca1dfed4da86,https://p.scdn.co/mp3-preview/d6a194a35f47dc4f6f6bc2d9126b87a432e8e406?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Tink-Fuck-Around-lyrics
71,Hip-Hop,Who You Loving? (feat. G-Eazy & Rahky),DreamDoll,https://i.scdn.co/image/ab67616d0000485121e2c8ae20152f894215f977,https://p.scdn.co/mp3-preview/c3cf5c54575459147dab79e6d86e8a52f9299841?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/DreamDoll-Who-You-Loving-lyrics
72,Hip-Hop,Hit My Phone (feat. Kehlani),Megan Thee Stallion,https://i.scdn.co/image/ab67616d0000485120fbc17fcb9376bc76a1b510,https://p.scdn.co/mp3-preview/35b9fa2b15f102898733baf0787e16f99fedd1d5?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Megan-Thee-Stallion-Hit-My-Phone-lyrics
73,Hip-Hop,Still I Am,Kamaiyah,https://i.scdn.co/image/ab67616d00004851fad2a7a647b2810618d8b312,https://p.scdn.co/mp3-preview/a4feb2c6069a78d0998ddfd360c0d55db98afc42?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Kamaiyah-Still-I-Am-lyrics
74,Hip-Hop,Happiness Over Everything (H.O.E.) (feat. Future & Miguel),Jhené Aiko,https://i.scdn.co/image/ab67616d0000485124957eb2e72f8180802c4884,,https://genius.com/Jhené-Aiko-Happiness-Over-Everything-lyrics
75,Hip-Hop,F&MU,Kehlani,https://i.scdn.co/image/ab67616d00004851f09642f204393d1a18476a2b,,https://genius.com/Kehlani-FMU-lyrics
